bed_id,block_idx,status,crop,variety,wave_id,family,water,notes,conflict_details,color,alpha,border_style,run_id
11,6,EMPTY,,,,,,,,#F2F2F2,1.0,solid,54
11,7,EMPTY,,,,,,,,#F2F2F2,1.0,solid,54
11,8,EMPTY,,,,,,,,#F2F2F2,1.0,solid,54
11,9,EMPTY,,,,,,,,#F2F2F2,1.0,solid,54
11,10,EMPTY,,,,,,,,#F2F2F2,1.0,solid,54
11,11,EMPTY,,,,,,,,#F2F2F2,1.0,solid,54
11,12,EMPTY,,,,,,,,#F2F2F2,1.0,solid,54
11,13,EMPTY,,,,,,,,#F2F2F2,1.0,solid,54
11,14,EMPTY,,,,,,,,#F2F2F2,1.0,solid,54
11,15,FLOWER,,,,,,,,#E6A8D7,1.0,solid,55
12,0,FLOWER,,,,,,,,#E6A8D7,1.0,solid,56
12,1,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,2,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,3,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,4,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,5,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,6,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,7,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,8,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,9,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,10,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,11,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,12,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,13,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,14,EMPTY,,,,,,,,#F2F2F2,1.0,solid,57
12,15,FLOWER,,,,,,,,#E6A8D7,1.0,solid,58
