crop,variety,supplier,order_date,stock_quantity,season,water,sow,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,harvest_info,packet_type,notes,url
Cauliflower,Snowball,SDSC,,,cool,high,Aug–Dec,transplant,35,80,2,0.56,,1,2,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cauliflower/organic-snowball-cauliflower-seeds/
Cauliflower,Violet Queen,SDSC,,,cool,high,Aug–Dec,transplant,35,80,2,0.56,,1,2,,single,,https://sandiegoseedcompany.com/product/vegetables/cauliflower/violet-queen-cauliflower-seeds/
Kale,Black Magic,SDSC,,,cool,medium,Aug–Mar,transplant,30,60,5-star,1,,1,5,,single,*shopper requested*,https://sandiegoseedcompany.com/product/vegetables/kale/black-magic-kale-seeds/
Beets,Golden Beet,SDSC,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-golden-beet-seeds/
Beets,Boro,SDSC,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-boro-beet-seeds/
Beets,Detroit Dark Red,SDSC,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beets/organic-detroit-dark-red-beet-seeds/
Beets,Bulls Blood,SDSC,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,,https://sandiegoseedcompany.com/product/vegetables/beets/bulls-blood-beet-seeds/
Beets,Boldor,JS,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,"organic, golden - *shopper requested*",https://www.johnnyseeds.com/vegetables/beets/specialty-beets/boldor-organic-beet-seed-3121G.html
Beets,Boro F1,JS,,,cool,medium,Sep–Feb,direct_sow,,60,5-star,3,,0.25,0.25,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/beets/round-red-beets/boro-organic-f1-beet-seed-3300G.html
Carrots,Juwarot,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-juwarot-carrot-seeds/
Carrots,Miami Pelleted,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-miami-pelleted-carrot-seeds/
Carrots,Nantes Coreless,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-nantes-coreless-carrot-seeds/
Carrots,Danvers,SDSC,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,,single,organic,https://sandiegoseedcompany.com/product/vegetables/carrots/organic-danvers-carrot-seeds/
Carrots,Bengala F1,JS,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,,single,*shopper requested* - currently out of stock,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bengala-organic-f1-carrot-seed-5176G.html
Carrots,Bolero F1,JS,,,cool,medium,Sep–Feb,direct_sow,,75,4,6,,0.25,0.25,,single,*replacement for Bengala*,https://www.johnnyseeds.com/vegetables/carrots/storage-carrots/bolero-f1-carrot-seed-216.html
Radishes,French Breakfast,SDSC,,,cool,low-medium,Sep–Mar,direct_sow,,28,4,6,,0.25,0.25,,single,,https://sandiegoseedcompany.com/product/vegetables/radishes/french-breakfast-radish-seeds/
Radishes (Mixed),Confetti Mix,SDSC,,,cool,low-medium,Sep–Mar,direct_sow,,28,4,6,,0.25,0.25,,mixed,,https://sandiegoseedcompany.com/product/vegetables/radishes/confetti-mix-radish-seeds/
Arugula,Wild Arugula,SDSC,,,cool,medium,Sep–Mar,direct_sow,,30,scattered,,25,0.001,0.0015,,single,,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/
Lettuce (Single),Parris Island Cos Romaine,SDSC,,,cool,medium-high,Sep–Mar,transplant,28,55,5-star,1,,1,1,,single,,https://sandiegoseedcompany.com/product/vegetables/greens/parris-island-cos-romaine-lettuce-seeds/
Lettuce (Mixed),Zone 9-10 Mix,SDSC,,,cool,medium-high,Sep–Mar,direct_sow,,35,scattered,,20,0.0015,0.0025,,mixed,organic,https://sandiegoseedcompany.com/product/vegetables/lettuce/organic-zone-9-10-lettuce-mix/
