crop,variety,plant_type,season,sow_window,seeding_method,start,plant_out,days_to_transplant,days_to_maturity,packet_type,water_needs,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,supplier,url,notes,yield_low,yield_high
Celery,Golden Pascal,vegetable,cool-season,Aug–Oct,transplant,,,,,single,high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/celery/organic-golden-pascal-celery-seeds/,,0.5,0.5
Celery,Tango,vegetable,cool-season,Aug–Oct,transplant,,,,,single,high,,,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/celery-and-celeriac/celery/tango-organic-celery-seed-647G.html,,0.5,0.5
Fennel,Finale,vegetable,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/fennel/organic-finale-fennel-seeds/,,,
Onions (bulbing types vary by daylength),Red Rock Bulbing,vegetable,cool-season,Sep–Jan,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/onions/red-rock-bulbing-onion-seeds/,,,
Onions (bulbing types vary by daylength),Maragogi F1,vegetable,cool-season,Sep–Jan,direct_sow,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/onions/full-size-onions/maragogi-f1-onion-seed-5230.html,,,
Tomatoes,Bo Mango,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-bo-mango-tomato-seeds/,,5.0,15.0
Tomatoes,Dwarf Rosella Purple,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/dwarf-tomato-rosella-purple-seeds/,,5.0,15.0
Tomatoes,Dwarf Wilpena,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-wilpena-tomato-seeds/,,5.0,15.0
Tomatoes,Rainbow Cherry,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/tomatoes/rainbow-cherry-tomato-seeds/,,5.0,15.0
Tomatoes,Jolene F1,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,beefsteak,,JS,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/jolene-f1-tomato-seed-4778.html,,5.0,15.0
Tomatoes,Verona F1,vegetable,warm-season,,transplant,Jan–Mar,Mar–Jun,,,single,medium-high,,,"organic, paste",,JS,https://www.johnnyseeds.com/vegetables/tomatoes/paste-tomatoes/verona-organic-f1-tomato-seed-3811G.html,,5.0,15.0
Peppers (Sweet),Italian Pepperoncini,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/italian-pepperoncini-pepper-seeds/,,1.0,5.0
Peppers (Sweet),Yolo,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/yolo-pepper-seeds/,,1.0,5.0
Peppers (Sweet),Sweet Banana,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/sweet-banana-pepper-seeds/,,1.0,5.0
Peppers (Sweet),Orange Wonder Sweet Bell,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-orange-wonder-sweet-bell-pepper-seeds/,,1.0,5.0
Peppers (Sweet),Jimmy Nardello Sweet,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jimmy-nardello-sweet-pepper-seeds/,,1.0,5.0
